ShooterAltitude,ShooterVelocity,ShooterPitch,TargetAltitude,TargetVelocity,TargetHeading,TargetOffBoresight,Rmax
24427.93907877486,402.69263393007043,39.173508613091656,23701.022877079788,575.9911031855788,-23.862557663810605,32.300324293813944,40000.0
16208.424424460338,489.51745776652655,12.72455532342309,25419.210204568553,539.241925739211,25.19083747970106,27.85297525907889,40000.0
2342.185691862016,554.5531438551928,17.702195140173615,27788.18721527367,505.4370547778829,143.61034435984197,-53.93336631444777,40000.0
16033.540110277796,541.5457423730109,33.40256006516738,15856.667228079357,431.35558726056274,-140.2427318219077,54.99936313907206,40000.0
7044.102804370212,452.2322752279467,10.889303205111432,15666.241933943218,411.9331610328678,137.76175496945808,-35.839509074481285,40000.0
17864.862616273884,484.7406458007175,36.51238495092643,43474.34590143031,457.4257970081566,178.44345158860546,-4.902262957836072,40000.0
22145.117675284393,544.5710880071014,5.262843973492473,21719.311628910866,513.2277598848061,165.8339450842003,-38.38061214294399,40000.0
35507.58793934625,523.0857608520721,21.239845084310986,31240.35118339548,401.6335001364573,161.22861113104182,-9.927258925624109,40000.0
14520.607026279618,438.0178650186858,5.883401436801691,7647.484277743589,465.72332440763114,-29.064123754584728,-37.48547937074476,40000.0
36084.93009450425,449.3683796856309,-42.92027908256504,33435.242319954625,436.613458428297,141.7773711192106,12.384226024010843,40000.0
14160.67002386393,463.00539946987857,-38.54828711492102,6780.700778812008,580.7801274142089,26.01625030121366,-24.885959063629407,40000.0
27760.59160130646,585.2418425826746,13.623102996772452,21355.293728606204,501.3982505270094,31.26578242997516,-10.503196687920259,40000.0
32706.08704873171,583.039931654584,-14.486265382859859,5384.135786725473,448.0064550017893,-1.3101051406926842,-39.86784377237356,40000.0
43914.60019053612,531.2195555934345,-16.987370276696513,42464.44992431822,543.0094541773908,-7.834471439172887,16.73075507141418,40000.0
39575.80570227291,473.73981763195786,-6.841123107322545,34977.59002125234,424.3194651115123,-157.88051785560756,-2.607193969294201,40000.0
2257.8941739312754,430.136740338068,38.49180513539291,30923.255608758314,529.4370430875915,-176.50737501857995,-15.829821340050906,40000.0
41107.00838125585,485.9576337146602,-23.3943014447557,22665.9621352532,547.7018317613257,-120.24734591963907,57.88197926902288,40000.0
4314.163949920857,597.647291476408,-18.173212855512602,1709.373052323319,499.9034130904316,-85.95585114019407,-40.41116258491451,40000.0
38786.607972777245,576.4938375104373,-11.585017414564888,6164.996614668592,417.62215590026926,19.49849097854002,-13.735086766402482,40000.0
28121.77725866737,499.04435453167235,4.2578140206961805,16217.817147011463,510.8409564903425,-171.42565187754204,6.774058284581216,40000.0
28527.29119949427,525.0979496458383,14.368273216426068,30537.670279409067,467.29818668095515,-161.8999626821709,-50.62175947927447,40000.0
38344.36381655971,588.3066250204927,-11.832163344478602,25152.497443150613,508.82198631750003,53.41634651266202,23.54570621485871,40000.0
31654.248401482535,446.3688118364017,19.460464240002835,38123.592101484726,429.6775053222054,-79.13094210184408,-23.747894593770532,40000.0
35844.451960876875,540.2385276117269,18.44904091413389,42113.87299694523,475.2313554683888,-47.107712384096146,-26.906733634537296,40000.0
42288.79841736388,543.8639654813975,-36.02275693746647,11776.175869947177,546.0501407689749,78.73532888519395,57.24147201312806,14712.890625
36421.947400843615,417.84562174065303,-25.211271914632224,13690.49288818035,565.4529601523155,-96.28231558321087,-30.879014498143704,40000.0
17519.375707167586,497.65477256797413,30.419064367085767,30244.935261754286,422.27259377275743,126.77639811074408,-1.103573907875635,40000.0
28845.087299226416,422.8162124094246,7.65547454509818,17239.384223478188,520.86832281661,118.5697907553988,-35.21423132016673,40000.0
3270.891479334357,575.4670961943871,19.07542820383813,40129.84871063557,455.78488918744375,76.3665520957428,-54.54159098238685,40000.0
30252.28269237123,553.6103405121822,-21.788165832053746,22829.244134928133,555.3872480904367,-12.347378719135747,-52.49998618498631,25333.984375
44700.4927003276,437.42778922995933,9.441425667132854,40340.26010651762,440.07316121209715,146.98691273681032,2.2597877717309416,40000.0
34974.93474520074,415.86556087471354,-3.938024467512733,11230.078556665427,494.9606392285206,-106.23018704352991,-18.600555711440734,40000.0
37470.216510024424,582.4808776485709,15.509282221927329,33145.52510922517,453.257236480708,133.46401013904438,-46.834887964145004,40000.0
42080.63234329323,537.0544498328925,-2.4645986875914545,24706.955373117697,456.7267608956971,-71.59997220533829,-14.380937572605362,40000.0
5076.192565720373,561.9644226687427,-20.2494706873962,1395.512537120127,496.859455288347,-137.77096371267854,36.52083909710177,40000.0
38453.95007399998,433.4406597564391,26.921173852605932,38740.5139724281,409.70127729025126,50.53125970776077,10.7678299492635,40000.0
39444.918321048266,514.3096505741854,-27.520068036899136,3432.7237985289385,443.0981706160528,136.3590964659541,34.86703506826724,40000.0
31986.806022217294,448.8351143893612,-34.85684524752937,32564.444292497945,577.9181882846569,89.56871187430045,-8.665408536735121,40000.0
16750.453997266843,495.62970655730356,-40.181913536818016,16097.952636399232,486.13308154123223,-36.68382628620313,43.1542523346797,40000.0
37697.48145368176,566.0371753364942,-23.96616641520789,24468.956524471283,526.8051399173951,85.93800770042247,-46.11262977559032,40000.0
39950.92999033408,454.7344815255899,3.0029405997870313,41368.11246526438,403.6065509328095,-69.25878343229576,-44.789584841840956,40000.0
21118.540391270384,408.4842171932774,-0.593986325757129,8528.752006104338,437.45266033977487,-46.55610871224778,-30.140046635238335,40000.0
25937.10359485098,427.82482266115915,-34.4645729158846,18680.936789451258,469.7479542001153,-2.6887400208272254,35.73919149579716,40000.0
28477.268133877562,572.0437776235648,19.856863830812216,42779.6027470375,582.7272097263308,56.24397752575402,-56.14232926977394,40000.0
43417.23935495733,573.8828738035181,-9.640903402196663,34140.31399672685,592.660058338088,-129.45151957023842,-7.694859226522695,40000.0
18561.83919610646,589.8508057778027,18.477302126211164,13087.238982722734,593.2538274771256,-25.441903242293876,29.786252303821627,40000.0
11695.691265344376,536.3426493020337,27.100893456864256,22018.567450686947,516.0790175671756,-32.23699450180018,0.20385453725655367,40000.0
7604.822845102323,591.3578528478118,-0.3010708630173724,12110.110848610717,586.2899444239163,-130.08244760955392,-41.56532147317459,40000.0
17382.565985957757,594.6233456066165,-29.139433222693178,9748.67241917731,535.3701939088292,90.65591221507458,-59.156667611073196,40000.0
5832.122972552563,578.8447308520483,39.03748249610308,44864.00087042149,405.6476114929662,92.59869706170304,-58.50414739886927,40000.0
23563.465009365438,451.7444019556362,40.26895276331386,36369.663126507345,477.7067959897416,171.1200504511222,-16.317083336350088,40000.0
39181.38792997017,505.84924242930526,-17.860946908628012,20200.885010124395,572.4628600503233,-74.91159263717368,31.253059379750724,40000.0
20539.694396129707,428.43074875008404,-40.84139371370529,7015.375300710275,552.1923862042938,-167.52554816188683,59.5182135549415,35240.234375
33262.53535854402,481.3467729602422,-7.780227565444449,22454.969224113433,544.3993356776873,-15.772147344616826,-40.95435141441288,40000.0
8149.297852694237,547.1718420557843,32.40951654331634,23287.653821945598,481.77921816771413,49.70666671266736,-33.72463034261682,40000.0
1602.8378153898038,550.732643010997,33.843367762542826,34445.791619622105,588.6180157222576,-50.418040576284,-27.227658002833635,40000.0
21635.243356362735,504.90945348673813,-25.715699446543614,8730.483981602352,583.9815621139077,-81.28552731247225,8.889227293719031,40000.0
12043.148895013363,490.00122287217357,36.90768352036619,40696.90692916389,487.7306146052799,-89.81596105652035,20.099603990784743,40000.0
20880.40280645379,517.7803799887573,-30.312721793471397,14430.260460901467,515.3974763052449,30.499947306220662,-32.83017106252149,40000.0
4171.28498001946,434.4985426240836,38.17794681659164,41079.415452859095,599.4053256425902,55.35026291971445,-31.910112382384924,40000.0
24824.686177611125,409.21323541400176,-5.548197684231916,4456.586602547504,490.9336471680994,-42.40014268396007,-13.119258218258132,40000.0
19935.556165429218,559.852296151043,-44.90853322243255,2790.288431936534,479.7582296048276,9.878234669783524,9.130375344607515,40000.0
15587.43682345358,545.6862839055227,12.060512890757686,20364.286655014977,500.2168315954666,-100.44084997819067,48.11266487525616,40000.0
5537.113449171446,519.5370080238043,20.689412125991026,32353.57043725129,538.5305458259245,123.50921670239507,-43.347892155719265,40000.0
27919.276058097723,584.6387443993647,-20.934124985110138,7979.8328881284615,447.1561080784721,-38.757589429221696,56.14637889362176,40000.0
36945.2458978718,529.241379342554,-31.28037701575773,29917.420138877394,412.70518816129515,61.464422539998736,26.354539272992554,40000.0
7485.722121439581,426.6065250101765,-16.27144140152511,17473.145467728213,557.3308623353289,174.56101957616988,21.740719673106952,40000.0
30549.485916233345,468.84653355965537,-1.2090411439600715,26590.10510264636,472.16578778252756,95.65942554213115,-18.595850183862815,40000.0
44135.154333828264,492.6610136560737,8.26452972853027,28422.273620903194,509.92028488004024,-179.97467458111433,14.781672387017565,40000.0
1319.3450972659414,486.4537039205744,-8.91612229172707,15276.844679768392,512.8785697117679,-127.3930155379506,-25.364504561620038,40000.0
26412.764355981515,472.54729314164376,-22.311434816475447,15510.009203684865,511.69143416010667,-90.08535998369928,18.674788354921986,40000.0
29504.753610271568,488.15052396461886,9.812405459299548,37586.413563942406,489.479290083318,124.30368944462128,38.382027834129374,40000.0
18680.600981764233,532.035035655779,-23.657511197289676,1924.73656649353,416.05282081112614,132.9432837679533,55.58864398002294,19197.265625
15465.703390589157,424.7042810137123,22.727530533795587,38487.59699886035,530.9004440586885,12.196934008261053,-31.757219310053024,40000.0
3835.5695142165564,435.7146435569346,15.151693327394426,23488.165442850914,570.60351701367,155.50336925731642,-28.097263749182424,40000.0
27566.822083028568,570.1291455811687,-22.679498999600806,4652.754921614998,591.2766318297009,148.4539579848095,4.459838168186252,40000.0
27328.554774436292,406.00681425328384,33.198615278463365,32846.28318981278,563.13992767723,-49.11298051426826,49.25780002010187,40000.0
19462.460052255763,503.8614079229944,-5.190699548508462,18277.63005031695,594.6291803100254,35.60229423043819,19.414003754387338,40000.0
25730.96115336328,461.08339040776644,-12.80042226355539,39574.95468180545,454.073957937954,-57.74050042775764,6.067662841400846,40000.0
6476.779327228846,450.6275578229058,31.50421691021566,29213.38771950728,525.3623856889621,-117.30170067852853,28.6577627745734,40000.0
29355.362926560985,480.1233209567543,-29.893684790122986,4807.054659945123,438.17093602167307,-134.92639627122648,-3.481059072652897,40000.0
